Level,BG3 (All Classes),,Baseline Arms Warrior Abilities (This is the Arms order),,Baseline Protection Warrior Spells (This is the Protection order),,,Baseline Fury Warrior Abilities (This is the Fury order),,Warrior Class Talents (All subclasses has these abilities),,,,,,,,,,Arms Spec Talents (Only for Arms),,,,,,,,,,,,, Fury Spec Talents (Only for Fury),,,,,,,,,,,Protection Warrior Spec Talents (Only for Protection),,,,,,,,"Mountain Thane Talents (Protection, Fury)",,,"Colossus Talents (Arms, Protection)",,,"Slayers Talents (Arms, Fury)",,,,,,,,,,
,Attacks,Feats,Auto Grant,,,,,,,AutoGrant,,Choose one for this per level,,,,,,,,Auto Grant,,,,Pick one for this level,,,,,,,,,Auto Grant,,,Pick one for this level,,,,,,,,Auto Grant,Pick one for this level,,,,,,,Auto Granted,,,Auto Granted,,,Auto Granted,,,,,,,,,,
10,,,,, Execute - Powerful single-target damage skill. Consumes lots of Rage to finish off low-health enemies.,,,,,,," Uproar - keeps Thunderous Roar aligned with Avatar and other cooldowns, provides a noticeable overall damage increase, especially in multitarget."," Thunderous Words - increases the damage of all bleeds only while Thunderous Roar is active, creating powerful burst windows that synergize well with Odyn's Fury.", Berserker's Torment - highly effective and extends the duration of their normal counterparts.," Titan's Torment - very strong AoE damage increase, which synergizes with other additional effects from Odyn's Fury."," Piercing Challenge - a minor overall damage increase, though the extra rage generation is largely irrelevant."," Champion's Might - a short but powerful damage window, which now activates on the target instead of requiring the player to stand within a specific location.",,,,,,," Fatality - provides increased damage during Execute, while keeping the abilities used before Execute relevant. It cannot critically strike and does not benefit from class buffs such as Colossus Smash or Avatar, but it can be buffed by primary stat increases like Test of Might or potions."," Dance of Death - provides a significant damage increase for Bladestorm and can be chained from pack to pack, but the timing does not work cleanly with all of Bladestorm's other follow-on talents."," Unhinged - a significant single/two target damage increase while using Bladestorm or Ravager, highly effective in combination with other effects that synergize with Mortal Strike."," Merciless Bonegrinder - a major damage increase for Cleave or Whirlwind, creating strong AoE damage windows."," Executioner's Precision (EP) - provides great value to Mortal Strike, keeping the ability relevant during Execute.",,,,,,,," Tenderize - greatly increases the value of Onslaught, both in jumpstarting the rotation and increasing the damage of Rampage.", Unhinged - provides a deceptively powerful bonus to both single and multitarget damage during either Bladestorm or Ravager.," Storm of Steel - gives Ravager a second charge, which is fairly important in most content."," Unbridled Ferocity - randomly triggers Recklessness, though its low proc chance leaves it generally uncompetitive."," Depths of Insanity - generally uncompetitive, due to its small impact on overall uptime."," Dancing Blades - triggers a large auto-attack buff, which provides a bonus to Odyn's Fury's single target value."," Titanic Rage - a minor damage buff, but jumpstarts the AoE rotation by auto-applying important buffs, with even greater synergy in combination with Titan's",,," Shield Charge (SC) - Decent offensive cooldown and Rage generation tool. It is not great on its own, but it is good with the talent synergy below. Grants 20 rage. It deals slightly more single-target damage than Ravager, but less AoE damage."," Battle-Scarred Veteran (BSV) - Reactive defensive cooldown that provides a ton of damage reduction and increased healing taken. The 3-minute cooldown is long. After FINALLY being fixed in 10.2.7, this Talent is properly useful for new players and may have niche applications in high keys as a planned defensive. Great tool to recover from a mistake or generally when in trouble.", Whirling Blade - This talent randomly sends out more frequent and shorter versions of  Ravager.," Ravager - Great offensive Ability for initial threat in a pull, grants 60 rage over its course to help you stabilize and get the ""Rage Feedback Machine"" going.",,,,,,,,,,,,,,,,,,,,
11,,," Heroic Throw (HT) - pitifully low damage ranged attack, only appropriate for pulling from a distance.",," Hamstring - A single-target slow. Occasionally useful, but not very often.", Battle Shout (BS or Shout) - Excellent attack power buff for your group.,," Heroic Throw (HT) - pitifully low damage ranged attack, only appropriate for pulling from a distance.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,Add Feat," Shield Slam - early offensive ability, replaced upon specializing.",," Whirlwind (WW) - A basic Rage-spending, AoE damage skill. It is not useful to Protection Warriors.",,," Shield Slam - early offensive ability, replaced upon specializing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Row 9 Talents,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lightning Strikes,,,Demolish,,,Slayer’s Dominance,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crashing Thunder,Ground Current,Strength of the Mountain,Martial Expert,Colossal Might,Earthquake,Imminent Demise,Overwhelming Blades,Relentless Pursuit ,,,,,,,,
16,,Add Feat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thunder Blast,Storm Bolts,Keep your feet on the Ground ,Arterial Bleed,Tide of Battle,No Stranger to Pain,Death Drive,Brutal Finish,Opportunist,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Add Feat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flashing Skies , Thorim’s Might,Burst of Power,Practiced Strikes,Precise Might,Mountain of Muscle and Scars,Show No Mercy,Reap the Storm,Slayer’s Malice,,,,,,,,
20,,Add Feat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avatar of the Storm,,,Dominance of the Colossus,,,Unrelenting Onslaught,,,,,,,,,,
